Product,Region,Units Sold,Unit Price,Date,Total Sales
C,East,28,41.16738889804607,2023-01-01,1152.68688914529
D,West,79,51.82064316456503,2023-01-02,4093.830810000637
A,East,76,68.4796314378487,2023-01-03,5204.451989276501
C,North,40,14.325303177733035,2023-01-04,573.0121271093215
C,West,42,95.42311584322474,2023-01-05,4007.770865415439
D,North,88,89.80123485682428,2023-01-06,7902.508667400537
A,West,93,33.48042610075426,2023-01-07,3113.679627370146
A,West,29,11.377408626134628,2023-01-08,329.9448501579042
C,South,97,94.00926772715347,2023-01-09,9118.898969533886
B,North,22,55.09358955237333,2023-01-10,1212.0589701522133
C,East,86,58.54397035600563,2023-01-11,5034.781450616484
C,East,70,71.55673924583269,2023-01-12,5008.971747208288
C,North,58,65.42660479509225,2023-01-13,3794.7430781153503
C,East,39,94.95024441046814,2023-01-14,3703.0595320082575
D,East,84,94.98264374126506,2023-01-15,7978.542074266265
A,North,65,88.04790401995034,2023-01-16,5723.113761296772
D,West,45,67.276323770141,2023-01-17,3027.434569656345
D,North,37,82.08543652141597,2023-01-18,3037.161151292391
D,West,72,70.94515081446835,2023-01-19,5108.050858641721
C,East,37,61.603033750474,2023-01-20,2279.3122487675378
B,East,18,21.565031791051915,2023-01-21,388.1705722389345
A,East,25,83.00837590624027,2023-01-22,2075.209397656007
B,South,52,83.85755281695599,2023-01-23,4360.592746481711
D,West,24,66.33457030914155,2023-01-24,1592.0296874193973
D,South,12,83.83841593941412,2023-01-25,1006.0609912729694
B,South,11,68.63362946720092,2023-01-26,754.9699241392101
B,North,71,28.601592388907086,2023-01-27,2030.7130596124032
B,South,21,34.65650145890204,2023-01-28,727.7865306369429
D,North,37,29.31302077375367,2023-01-29,1084.5817686288858
D,North,52,43.953317490517826,2023-01-30,2285.572509506927
A,South,80,13.506681907921028,2023-01-31,1080.5345526336823
A,West,63,65.64284959041035,2023-02-01,4135.499524195852
D,West,90,40.28987933998539,2023-02-02,3626.089140598685
B,West,26,69.01503718426679,2023-02-03,1794.3909667909365
B,West,34,44.68569588690085,2023-02-04,1519.313660154629
A,West,42,71.34523020755108,2023-02-05,2996.4996687171456
D,South,55,40.6562112517816,2023-02-06,2236.091618847988
A,South,58,33.462507541231275,2023-02-07,1940.825437391414
A,East,12,54.64337088640656,2023-02-08,655.7204506368787
C,West,31,72.36013228227455,2023-02-09,2243.164100750511
C,South,31,41.35029440078776,2023-02-10,1281.8591264244205
C,East,25,94.29833366701365,2023-02-11,2357.458341675341
B,West,34,13.526769400808163,2023-02-12,459.9101596274776
D,North,32,47.61514285440209,2023-02-13,1523.6845713408668
D,East,68,97.08224963682227,2023-02-14,6601.5929753039145
D,South,73,59.31746949232786,2023-02-15,4330.175272939934
D,North,65,48.11238480773067,2023-02-16,3127.3050125024934
C,North,52,61.16682553749625,2023-02-17,3180.674927949805
B,North,23,61.83321177322762,2023-02-18,1422.1638707842353
B,East,8,75.84829797696761,2023-02-19,606.7863838157409
C,South,39,21.492075648021903,2023-02-20,838.1909502728543
B,North,68,32.501480429449416,2023-02-21,2210.1006692025603
C,West,53,62.24896111095189,2023-02-22,3299.19493888045
D,North,21,88.04049464887498,2023-02-23,1848.8503876263746
C,North,48,60.568002292939624,2023-02-24,2907.2641100611017
D,East,96,31.473717381130616,2023-02-25,3021.476868588539
D,East,34,71.18603019102213,2023-02-26,2420.3250264947524
A,South,97,76.59178844026371,2023-02-27,7429.40347870558
C,West,50,31.44125371635815,2023-02-28,1572.0626858179075
A,East,10,43.995599755866536,2023-03-01,439.95599755866533
C,North,41,58.08947261775071,2023-03-02,2381.668377327779
C,South,28,54.690507161476994,2023-03-03,1531.3342005213558
A,North,97,45.065627759728315,2023-03-04,4371.365892693647
A,North,50,36.78716570583798,2023-03-05,1839.358285291899
C,East,57,18.998639844567705,2023-03-06,1082.9224711403592
B,South,99,14.813676707263202,2023-03-07,1466.553994019057
D,West,64,96.26873471948785,2023-03-08,6161.199022047223
A,West,67,86.24288296860308,2023-03-09,5778.273158896407
D,East,89,41.94146714164486,2023-03-10,3732.7905756063924
B,East,36,96.11207966138107,2023-03-11,3460.034867809719
B,South,91,70.90929139818729,2023-03-12,6452.745517235044
B,West,37,53.42688546783782,2023-03-13,1976.7947623099994
A,West,71,54.37230919946245,2023-03-14,3860.433953161834
B,West,22,17.495597007573366,2023-03-15,384.90313416661405
A,North,29,18.253373253263298,2023-03-16,529.3478243446357
B,West,99,64.21968333110071,2023-03-17,6357.7486497789705
D,North,58,59.833274711122066,2023-03-18,3470.3299332450797
D,South,62,29.145510552180607,2023-03-19,1807.0216542351977
C,North,71,95.15750885935212,2023-03-20,6756.183129014001
D,South,50,80.31664454240823,2023-03-21,4015.8322271204115
C,West,28,20.211814181570322,2023-03-22,565.930797083969
D,West,36,93.78361951185633,2023-03-23,3376.210302426828
A,South,51,97.68233876809691,2023-03-24,4981.799277172942
D,East,90,99.63381178272962,2023-03-25,8967.043060445667
C,South,27,15.028403920961503,2023-03-26,405.7669058659606
C,East,70,76.33320011119079,2023-03-27,5343.324007783355
B,North,31,59.132419314849,2023-03-28,1833.1049987603192
A,North,6,73.5248335490825,2023-03-29,441.149001294495
D,North,94,97.17867495767214,2023-03-30,9134.795446021182
B,West,21,71.92270091575352,2023-03-31,1510.376719230824
D,North,37,85.32674868136364,2023-04-01,3157.0897012104547
D,East,13,88.01818347797573,2023-04-02,1144.2363852136843
B,North,47,85.46326873875866,2023-04-03,4016.773630721657
B,South,52,48.3482327542247,2023-04-04,2514.1081032196844
B,South,43,30.03187758139275,2023-04-05,1291.3707359998882
B,West,97,45.69864417588267,2023-04-06,4432.768485060619
B,South,46,90.2707217899099,2023-04-07,4152.453202335855
D,East,30,23.194433952282296,2023-04-08,695.8330185684689
B,North,54,56.19935518231536,2023-04-09,3034.7651798450293
A,West,29,30.990526518207503,2023-04-10,898.7252690280176
C,North,28,62.317487550410405,2023-04-11,1744.8896514114913
B,North,17,87.68246697901034,2023-04-12,1490.6019386431758
B,East,64,89.23239717745751,2023-04-13,5710.873419357281
D,South,11,31.301667431387088,2023-04-14,344.31834174525795
B,South,61,91.69243357136916,2023-04-15,5593.238447853519
B,North,40,63.26998649391559,2023-04-16,2530.7994597566235
B,West,49,41.51964220302822,2023-04-17,2034.4624679483827
D,South,24,73.73630760248798,2023-04-18,1769.6713824597116
B,West,69,53.35002891677038,2023-04-19,3681.151995257156
C,South,12,44.0188831110029,2023-04-20,528.2265973320348
D,West,20,73.4575927866994,2023-04-21,1469.1518557339878
C,East,18,32.38517389872592,2023-04-22,582.9331301770665
D,West,80,39.72272761171887,2023-04-23,3177.8182089375096
B,East,91,49.10066600394442,2023-04-24,4468.1606063589425
C,East,19,32.831395648582486,2023-04-25,623.7965173230673
D,West,96,46.46818781032754,2023-04-26,4460.946029791444
A,East,70,61.432572268450954,2023-04-27,4300.280058791567
B,North,36,76.68764748196014,2023-04-28,2760.755309350565
D,East,91,79.04753677977145,2023-04-29,7193.325846959202
A,South,67,84.05113166890239,2023-04-30,5631.42582181646
D,West,90,76.97904912489682,2023-05-01,6928.114421240713
A,North,55,71.29354843872181,2023-05-02,3921.1451641297
B,West,29,31.375582416322295,2023-05-03,909.8918900733465
C,South,62,46.02006035848223,2023-05-04,2853.2437422258986
A,South,67,52.994340179220494,2023-05-05,3550.620792007773
D,South,66,17.46021895240188,2023-05-06,1152.3744508585241
B,East,26,57.55331091674883,2023-05-07,1496.3860838354694
A,East,62,49.27022484459004,2023-05-08,3054.7539403645824
D,West,62,82.18983241240606,2023-05-09,5095.769609569176
D,West,90,98.01106018788438,2023-05-10,8820.995416909594
D,North,53,60.04045347783261,2023-05-11,3182.1440343251284
